%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1748457054332229427,12,1748457054313275002,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57672911882e-06,0.0,0.0,0.0,0.0,0.0,0.0,13000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1574.28783993,0.0,0.0,0.0,0.0,0.0,0.0,1574.28783993,0.0,0.0,0.0,0.0,0.0,0.0,7.88345133651e-05
1748457054369071429,13,1748457054353241892,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59733463079e-06,0.0,0.0,0.0,0.0,0.0,0.0,14000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1594.80882888,0.0,0.0,0.0,0.0,0.0,0.0,1594.80882888,0.0,0.0,0.0,0.0,0.0,0.0,7.98636216262e-05
1748457054401707589,14,1748457054373221170,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99071723223e-07,0.0,0.0,0.0,0.0,0.0,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,0.0,399.01252856,0.0,0.0,0.0,0.0,0.0,0.0,399.01252856,0.0,0.0,0.0,0.0,0.0,0.0,1.99575795907e-05
1748457054439647332,15,1748457054413258582,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60292256624e-06,0.0,0.0,0.0,0.0,0.0,0.0,16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.4299028,0.0,0.0,0.0,0.0,0.0,0.0,1600.4299028,0.0,0.0,0.0,0.0,0.0,0.0,8.01457106911e-05
1748457054473726566,16,1748457054453707823,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63610093296e-06,0.0,0.0,0.0,0.0,0.0,0.0,17000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1633.472776,0.0,0.0,0.0,0.0,0.0,0.0,1633.472776,0.0,0.0,0.0,0.0,0.0,0.0,8.18029647189e-05
1748457054504529014,17,1748457054473263970,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82424332201e-07,0.0,0.0,0.0,0.0,0.0,0.0,18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,382.296917185,0.0,0.0,0.0,0.0,0.0,0.0,382.296917185,0.0,0.0,0.0,0.0,0.0,0.0,1.91211882145e-05
1748457054533984334,18,1748457054514352388,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68825499713e-06,0.0,0.0,0.0,0.0,0.0,0.0,19000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1685.41376769,0.0,0.0,0.0,0.0,0.0,0.0,1685.41376769,0.0,0.0,0.0,0.0,0.0,0.0,8.44086842458e-05
1748457054563460485,19,1748457054553413274,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52562279254e-06,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1523.43234487,0.0,0.0,0.0,0.0,0.0,0.0,1523.43234487,0.0,0.0,0.0,0.0,0.0,0.0,7.6283826558e-05
1748457054609288192,20,1748457054573569638,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06289473176e-07,0.0,0.0,0.0,0.0,0.0,0.0,21000000.0,0.0,0.0,0.0,0.0,0.0,0.0,406.114264976,0.0,0.0,0.0,0.0,0.0,0.0,406.114264976,0.0,0.0,0.0,0.0,0.0,0.0,2.03129348378e-05
1748457054645079506,21,1748457054613393088,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58592592925e-06,0.0,0.0,0.0,0.0,0.0,0.0,22000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1583.39706853,0.0,0.0,0.0,0.0,0.0,0.0,1583.39706853,0.0,0.0,0.0,0.0,0.0,0.0,7.92913939192e-05
1748457054675074703,22,1748457054653553002,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61270145327e-06,0.0,0.0,0.0,0.0,0.0,0.0,23000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1610.22579581,0.0,0.0,0.0,0.0,0.0,0.0,1610.22579581,0.0,0.0,0.0,0.0,0.0,0.0,8.06369027726e-05
1748457054704612705,23,1748457054673344568,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91737557948e-07,0.0,0.0,0.0,0.0,0.0,0.0,24000000.0,0.0,0.0,0.0,0.0,0.0,0.0,391.552957626,0.0,0.0,0.0,0.0,0.0,0.0,391.552957626,0.0,0.0,0.0,0.0,0.0,0.0,1.958432502e-05
1748457054733324116,24,1748457054714084075,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65973324329e-06,0.0,0.0,0.0,0.0,0.0,0.0,25000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1656.95844074,0.0,0.0,0.0,0.0,0.0,0.0,1656.95844074,0.0,0.0,0.0,0.0,0.0,0.0,8.29812224621e-05
1748457054776370129,25,1748457054753342776,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54122244567e-06,0.0,0.0,0.0,0.0,0.0,0.0,26000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1538.87773911,0.0,0.0,0.0,0.0,0.0,0.0,1538.87773911,0.0,0.0,0.0,0.0,0.0,0.0,7.70584272829e-05
1748457054804717854,26,1748457054773394087,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0209852159e-07,0.0,0.0,0.0,0.0,0.0,0.0,27000000.0,0.0,0.0,0.0,0.0,0.0,0.0,401.893737678,0.0,0.0,0.0,0.0,0.0,0.0,401.893737678,0.0,0.0,0.0,0.0,0.0,0.0,2.01017485532e-05
1748457054843892662,27,1748457054813690878,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62376090884e-06,0.0,0.0,0.0,0.0,0.0,0.0,28000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.19986729,0.0,0.0,0.0,0.0,0.0,0.0,1621.19986729,0.0,0.0,0.0,0.0,0.0,0.0,8.11875088629e-05
1748457054884100879,28,1748457054854114598,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63412187248e-06,0.0,0.0,0.0,0.0,0.0,0.0,29000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1631.41559461,0.0,0.0,0.0,0.0,0.0,0.0,1631.41559461,0.0,0.0,0.0,0.0,0.0,0.0,8.16997719366e-05
1748457054905073685,29,1748457054873613035,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.80096025765e-07,0.0,0.0,0.0,0.0,0.0,0.0,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,380.044791914,0.0,0.0,0.0,0.0,0.0,0.0,380.044791914,0.0,0.0,0.0,0.0,0.0,0.0,1.90085018467e-05
1748457054938673538,30,1748457054916607786,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84855889529e-06,0.0,0.0,0.0,0.0,0.0,0.0,31000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1845.13908004,0.0,0.0,0.0,0.0,0.0,0.0,1845.13908004,0.0,0.0,0.0,0.0,0.0,0.0,9.24228095287e-05
1748457054992623600,31,1748457054953360822,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35065056384e-06,0.0,0.0,0.0,0.0,0.0,0.0,32000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1348.96684611,0.0,0.0,0.0,0.0,0.0,0.0,1348.96684611,0.0,0.0,0.0,0.0,0.0,0.0,6.7535905961e-05
1748457055027854358,32,1748457054973358277,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99770215154e-07,0.0,0.0,0.0,0.0,0.0,0.0,33000000.0,0.0,0.0,0.0,0.0,0.0,0.0,399.738567089,0.0,0.0,0.0,0.0,0.0,0.0,399.738567089,0.0,0.0,0.0,0.0,0.0,0.0,1.99939106278e-05
1748457055062893695,33,1748457055013427304,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60536728799e-06,0.0,0.0,0.0,0.0,0.0,0.0,34000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1602.95436668,0.0,0.0,0.0,0.0,0.0,0.0,1602.95436668,0.0,0.0,0.0,0.0,0.0,0.0,8.02723326132e-05
1748457055070220725,34,1748457055053506486,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60618219525e-06,0.0,0.0,0.0,0.0,0.0,0.0,35000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1603.76875348,0.0,0.0,0.0,0.0,0.0,0.0,1603.76875348,0.0,0.0,0.0,0.0,0.0,0.0,8.03130258318e-05
1748457055093700784,35,1748457055073649152,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05823811889e-07,0.0,0.0,0.0,0.0,0.0,0.0,36000000.0,0.0,0.0,0.0,0.0,0.0,0.0,405.562709323,0.0,0.0,0.0,0.0,0.0,0.0,405.562709323,0.0,0.0,0.0,0.0,0.0,0.0,2.02853354123e-05
1748457055142540831,36,1748457055113684062,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60268973559e-06,0.0,0.0,0.0,0.0,0.0,0.0,37000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.23021907,0.0,0.0,0.0,0.0,0.0,0.0,1600.23021907,0.0,0.0,0.0,0.0,0.0,0.0,8.0135694144e-05
1748457055160191541,37,1748457055153534960,odom,0.0,0.0,0.0,0.0,0.0,8.79131208591e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58813782036e-06,0.0,0.0,0.0,0.0,0.0,0.0,38000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1585.58004416,0.0,0.0,0.0,0.0,0.0,0.0,1585.58004416,0.0,0.0,0.0,0.0,0.0,0.0,7.94007335274e-05
